1,1,0,1,2,123,123
2,1,0,2,3,123,123
3,1,0,3,3,123,123
4,1,1,1,3,123,123
5,1,1,2,4,123,123
6,2,0,1,1,102,102
7,2,0,2,1,102,102
8,2,1,1,1,102,102
9,2,1,2,1,102,102
10,3,0,1,5,159,167
11,3,0,2,6,159,167
12,3,0,3,7,160,167
13,3,1,1,4,159,167
14,3,1,2,9,159,167
15,3,1,3,9,159,167
16,4,0,1,4,157,157
17,4,0,2,5,157,157
18,4,0,3,6,157,157
19,4,1,1,4,157,157
20,4,1,2,6,157,157
21,4,1,3,8,157,157
22,5,0,1,3,135,135
23,5,0,2,4,135,135
24,5,0,3,5,135,135
25,5,1,1,5,135,135
26,5,1,2,5,135,135
27,5,1,3,5,135,135
28,6,0,1,1,101,101
29,6,0,2,6,101,101
30,6,0,3,10,101,101
31,6,1,1,1,101,101
32,6,1,2,7,101,101
33,6,1,3,10,101,101
34,7,0,1,3,150,150
35,7,0,2,4,150,150
36,7,0,3,4,150,150
37,7,1,1,3,150,150
38,7,1,2,5,150,150
39,8,0,1,3,126,126
40,8,0,2,3,126,126
41,8,0,3,5,126,126
42,8,1,1,3,126,126
43,8,1,2,4,126,126
44,8,1,3,7,126,126
45,9,0,1,3,150,150
46,9,0,2,6,150,150
47,9,0,3,9,150,150
48,9,1,1,3,150,150
49,9,1,2,6,150,150
50,9,1,3,9,150,150
51,10,0,1,1,132,132
52,10,0,2,3,132,132
53,10,1,1,2,132,132
54,10,1,2,3,132,132
55,11,0,1,2,125,125
56,11,0,2,7,125,125
57,11,0,3,10,125,125
58,11,1,1,3,125,125
59,11,1,2,11,125,125
60,11,1,3,11,125,125
61,12,0,1,5,190,190
62,12,0,2,6,190,190
63,12,0,3,8,190,190
64,12,1,1,3,190,190
65,12,1,2,6,190,190
66,12,1,3,9,190,190
67,13,0,1,2,168,168
68,13,0,2,3,168,168
69,13,0,3,9,168,168
70,13,1,1,3,168,168
71,13,1,2,4,168,168
72,13,1,3,9,168,168
73,14,0,1,4,145,145
74,14,0,2,7,145,145
75,14,0,3,8,145,145
76,14,1,1,5,145,145
77,14,1,2,10,145,145
78,14,1,3,7,145,145
79,15,0,1,2,140,140
80,15,0,2,3,140,140
81,15,1,1,2,140,140
82,15,1,2,3,140,140
83,16,0,1,3,155,155
84,16,0,2,5,155,155
85,16,0,3,6,155,155
86,16,1,1,4,155,155
87,16,1,2,8,155,155
88,17,0,1,4,125,125
89,17,0,2,5,125,125
90,17,0,3,6,125,125
91,17,1,1,6,125,125
92,17,1,2,9,125,125
93,18,0,1,3,155,155
94,18,0,2,5,155,155
95,18,0,3,8,155,155
96,18,1,1,5,155,155
97,18,1,2,8,155,155
98,19,0,1,2,125,125
99,19,0,2,3,125,125
100,19,0,3,3,125,125
101,19,1,1,1,125,125
102,19,1,2,2,125,125
103,20,0,1,3,127,127
104,20,0,2,6,127,127
105,20,1,1,4,127,127
106,20,1,2,7,127,127
107,21,0,1,3,168,168
108,21,0,2,4,168,168
109,21,0,3,4,168,168
110,21,1,1,3,168,168
111,21,1,2,5,168,168
112,22,0,1,4,123,135
113,22,0,2,6,123,135
114,22,0,3,7,123,135
115,22,1,1,4,123,135
116,22,1,2,6,123,135
117,22,1,3,7,123,135
118,23,0,1,3,155,155
119,23,0,2,8,155,155
120,23,1,1,4,155,155
121,23,1,2,7,155,155
122,24,0,1,4,130,130
123,24,0,2,4,130,130
124,24,0,3,4,130,130
125,24,1,1,4,130,130
126,24,1,2,4,130,130
127,25,0,1,5,90,180
128,25,0,2,8,90,180
129,25,0,3,9,90,180
130,25,1,1,5,90,180
131,25,1,2,12,90,180
132,25,1,3,12,90,180
133,26,0,1,5,155,155
134,26,0,2,7,155,155
135,26,0,3,11,155,155
136,26,1,1,7,155,155
137,26,1,2,10,155,155
138,26,1,3,12,155,155
139,27,0,1,4,150,150
140,27,0,2,6,150,150
141,27,0,3,7,150,150
142,27,1,1,4,150,150
143,27,1,2,6,150,150
144,27,1,3,6,150,150
145,28,0,1,3,136,136
146,28,0,2,8,136,136
147,28,0,3,8,136,136
148,28,1,1,3,136,136
149,28,1,2,8,136,136
150,29,0,1,5,180,180
151,29,0,2,8,180,180
152,29,0,3,11,180,180
153,29,1,1,5,180,180
154,29,1,2,8,180,180
155,29,1,3,11,180,180
156,30,0,1,4,145,145
157,30,0,2,5,145,145
158,30,0,3,7,145,145
159,30,1,1,4,145,145
160,30,1,2,5,145,145
161,30,1,3,7,145,145
162,31,0,1,4,125,125
163,31,0,2,6,125,125
164,31,0,3,8,125,125
165,31,1,1,4,125,125
166,31,1,2,11,125,125
167,31,1,3,11,125,125
168,32,0,1,4,135,135
169,32,0,2,6,135,135
170,32,0,3,7,135,135
171,32,1,1,4,135,135
172,32,1,2,7,135,135
173,33,0,1,1,84,84
174,33,0,2,2,84,84
175,33,1,1,1,84,84
176,33,1,2,2,84,84
177,34,0,1,7,150,150
178,34,0,2,10,150,150
179,34,1,1,8,150,150
180,34,1,2,10,150,150
181,35,0,1,6,60,144
182,35,0,2,8,60,144
183,35,0,3,10,60,144
184,35,1,1,6,60,144
185,35,1,2,8,60,144
186,35,1,3,11,60,144
187,36,0,1,5,155,155
188,36,0,2,9,155,155
189,36,0,3,10,155,155
190,36,1,1,6,155,155
191,36,1,2,8,155,155
192,37,0,1,5,160,160
193,37,0,2,7,160,160
194,37,0,3,9,160,160
195,37,1,1,4,160,160
196,37,1,2,7,160,160
197,37,1,3,10,160,160
198,38,0,1,3,155,155
199,38,0,2,4,155,155
200,38,0,3,7,155,155
